ano;ra;nome;idade;genero;fase;turma;ano_ingresso;instituicao_ensino;inde;pedra;fase_ideal;defasagem;iaa;ieg;ips;ida;ipv;ian;ipp;risco_defasagem
2022;RA-1;Aluno-1;19;Feminino;7;A;2016;Pública;5,783;Quartzo;8;-1,0;8,3;4,1;5,6;4,0;7,278;5,0;7,708333333;1
2022;RA-2;Aluno-2;17;Feminino;7;A;2017;Privada;7,055;Ametista;7;0,0;8,8;5,2;6,3;6,8;6,778;10,0;7,708333333;0
2022;RA-3;Aluno-3;17;Feminino;7;A;2016;Privada;6,591;Ágata;7;0,0;0,0;7,9;5,6;5,6;7,556;10,0;7,708333333;1
2022;RA-4;Aluno-4;17;Masculino;7;A;2017;Privada;5,951;Quartzo;7;0,0;8,8;4,5;5,6;5,0;5,278;10,0;7,708333333;1
2022;RA-5;Aluno-5;17;Feminino;7;A;2016;Privada;7,427;Ametista;7;0,0;7,9;8,6;5,6;5,2;7,389;10,0;7,708333333;0
2022;RA-6;Aluno-6;18;Feminino;7;A;2021;Pública;5,848;Quartzo;8;-1,0;7,9;4,5;7,5;3,3;7,222;5,0;7,708333333;1
2022;RA-7;Aluno-7;18;Masculino;7;A;2017;Privada;6,818;Ágata;8;-1,0;0,0;8,4;7,5;7,6;7,667;5,0;7,708333333;1
2022;RA-8;Aluno-8;20;Feminino;7;A;2018;Pública;4,786;Quartzo;8;-1,0;7,1;4,6;6,3;1,6;6,278;5,0;7,708333333;1
2022;RA-9;Aluno-9;18;Feminino;7;A;2019;Pública;8,109;Topázio;8;-1,0;8,8;9,5;7,5;6,7;9,5;5,0;7,708333333;0
2022;RA-10;Aluno-10;18;Feminino;7;A;2021;Pública;5,784;Quartzo;8;-1,0;8,3;5,2;5,0;4,1;7,056;5,0;7,708333333;1
2022;RA-11;Aluno-11;18;Feminino;7;A;2016;Pública;5,323;Quartzo;8;-1,0;9,2;4,2;5,0;3,0;6,389;5,0;7,708333333;1
2022;RA-12;Aluno-12;17;Feminino;7;A;2020;Pública;4,832;Quartzo;7;0,0;0,0;4,0;6,9;1,5;6,389;10,0;7,708333333;1
2022;RA-13;Aluno-13;18;Masculino;7;A;2016;Pública;6,902;Ágata;8;-1,0;7,9;7,4;7,5;4,7;8,056;5,0;7,708333333;1
2022;RA-14;Aluno-14;21;Masculino;7;D;2022;Pública;6,793;Ágata;8;-1,0;7,9;8,3;7,5;4,0;7,75;5,0;7,708333333;1
2022;RA-15;Aluno-15;18;Masculino;7;D;2022;Pública;7,783;Ametista;8;-1,0;8,8;10,0;7,5;7,3;7,292;5,0;7,708333333;0
2022;RA-16;Aluno-16;19;Masculino;7;D;2022;Pública;6,112;Ágata;8;-1,0;7,9;8,3;5,0;3,5;6,333;5,0;7,708333333;1
2022;RA-17;Aluno-17;20;Masculino;7;D;2022;Pública;8,068;Topázio;8;-1,0;8,8;10,0;7,5;7,8;8,292;5,0;7,708333333;0
2022;RA-18;Aluno-18;19;Masculino;7;D;2022;Pública;7,226;Ametista;8;-1,0;6,3;8,7;6,3;9,0;6,875;5,0;7,708333333;0
2022;RA-19;Aluno-19;19;Feminino;7;D;2022;Pública;7,665;Ametista;8;-1,0;7,9;9,5;7,5;8,0;7,0;5,0;7,708333333;0
2022;RA-20;Aluno-20;19;Feminino;7;D;2022;Pública;7,535;Ametista;8;-1,0;7,1;10,0;6,3;7,8;7,167;5,0;7,708333333;0
2022;RA-21;Aluno-21;18;Masculino;7;D;2022;Pública;6,945;Ágata;8;-1,0;9,6;9,2;7,5;3,8;7,25;5,0;7,708333333;1
2022;RA-22;Aluno-22;17;Feminino;6;A;2019;Privada;7,474;Ametista;7;-1,0;8,3;7,4;8,1;6,7;8,833;5,0;7,708333333;0
2022;RA-23;Aluno-23;17;Masculino;6;A;2021;Pública;7,677;Ametista;7;-1,0;8,3;8,2;8,1;6,7;8,556;5,0;7,708333333;0
2022;RA-24;Aluno-24;17;Feminino;6;A;2021;Privada;8,087;Topázio;7;-1,0;9,2;7,9;6,9;8,6;9,111;5,0;7,708333333;0
2022;RA-25;Aluno-25;17;Feminino;6;A;2021;Pública;7,979;Ametista;7;-1,0;8,3;8,3;8,8;6,9;9,667;5,0;7,708333333;0
2022;RA-26;Aluno-26;17;Masculino;6;A;2022;Pública;8,677;Topázio;7;-1,0;9,6;8,8;10,0;8,0;10,0;5,0;7,708333333;0
2022;RA-27;Aluno-27;17;Masculino;6;A;2016;Privada;7,124;Ametista;7;-1,0;0,0;7,6;8,1;8,0;9,111;5,0;7,708333333;0
2022;RA-28;Aluno-28;17;Feminino;6;A;2019;Pública;6,242;Ágata;7;-1,0;7,9;6,1;7,5;5,0;6,333;5,0;7,708333333;1
2022;RA-29;Aluno-29;17;Masculino;6;A;2022;Pública;4,985;Quartzo;7;-1,0;0,0;4,0;8,8;3,7;7,611;5,0;7,708333333;1
2022;RA-30;Aluno-30;16;Feminino;6;A;2021;Pública;7,605;Ametista;6;0,0;8,8;6,4;7,5;7,5;7,333;10,0;7,708333333;0
2022;RA-31;Aluno-31;17;Feminino;6;A;2019;Privada;8,843;Topázio;7;-1,0;10,0;9,5;9,4;8,0;10,0;5,0;7,708333333;0
2022;RA-32;Aluno-32;16;Feminino;6;A;2018;Privada;7,37;Ametista;6;0,0;8,8;5,2;8,8;6,1;7,944;10,0;7,708333333;0
2022;RA-33;Aluno-33;17;Feminino;6;A;2020;Pública;4,952;Quartzo;7;-1,0;0,0;4,6;7,5;4,8;6,0;5,0;7,708333333;1
2022;RA-34;Aluno-34;17;Masculino;6;A;2016;Privada;6,259;Ágata;7;-1,0;9,6;4,8;8,1;3,8;7,278;5,0;7,708333333;1
2022;RA-35;Aluno-35;17;Feminino;6;A;2019;Privada;8,965;Topázio;7;-1,0;10,0;9,6;9,4;8,5;10,0;5,0;7,708333333;0
2022;RA-36;Aluno-36;17;Feminino;6;A;2019;Privada;7,876;Ametista;7;-1,0;9,2;9,0;6,9;6,8;8,944;5,0;7,708333333;0
2022;RA-37;Aluno-37;17;Feminino;6;A;2019;Privada;4,95;Quartzo;7;-1,0;0,0;5,4;5,0;5,9;5,222;5,0;7,708333333;1
